il_id,il,plaka,ilce,slug
1,Adana,01,Aladağ,aladag
1,Adana,01,Ceyhan,ceyhan
1,Adana,01,Çukurova,cukurova
1,Adana,01,Feke,feke
1,Adana,01,İmamoğlu,i̇mamoglu
1,Adana,01,Karaisalı,karaisali
1,Adana,01,Karataş,karatas
1,Adana,01,Kozan,kozan
1,Adana,01,Pozantı,pozanti
1,Adana,01,Saimbeyli,saimbeyli
1,Adana,01,Sarıçam,saricam
1,Adana,01,Seyhan,seyhan
1,Adana,01,Tufanbeyli,tufanbeyli
1,Adana,01,Yumurtalık,yumurtalik
1,Adana,01,Yüreğir,yuregir
2,Adıyaman,02,Besni,besni
2,Adıyaman,02,Çelikhan,celikhan
2,Adıyaman,02,Gerger,gerger
2,Adıyaman,02,Gölbaşı,golbasi
2,Adıyaman,02,Kâhta,kâhta
2,Adıyaman,02,Merkez,merkez
2,Adıyaman,02,Samsat,samsat
2,Adıyaman,02,Sincik,sincik
2,Adıyaman,02,Tut,tut
3,Afyonkarahisar,03,Başmakçı,basmakci
3,Afyonkarahisar,03,Bayat,bayat
3,Afyonkarahisar,03,Bolvadin,bolvadin
3,Afyonkarahisar,03,Çay,cay
3,Afyonkarahisar,03,Çobanlar,cobanlar
3,Afyonkarahisar,03,Dazkırı,dazkiri
3,Afyonkarahisar,03,Dinar,dinar
3,Afyonkarahisar,03,Emirdağ,emirdag
3,Afyonkarahisar,03,Evciler,evciler
3,Afyonkarahisar,03,Hocalar,hocalar
3,Afyonkarahisar,03,İhsaniye,i̇hsaniye
3,Afyonkarahisar,03,İscehisar,i̇scehisar
3,Afyonkarahisar,03,Kızılören,kiziloren
3,Afyonkarahisar,03,Merkez,merkez
3,Afyonkarahisar,03,Sandıklı,sandikli
3,Afyonkarahisar,03,Sinanpaşa,sinanpasa
3,Afyonkarahisar,03,Sultandağı,sultandagi
3,Afyonkarahisar,03,Şuhut,suhut
68,Aksaray,68,Ağaçören,agacoren
68,Aksaray,68,Eskil,eskil
68,Aksaray,68,Gülağaç,gulagac
68,Aksaray,68,Güzelyurt,guzelyurt
68,Aksaray,68,Merkez,merkez
68,Aksaray,68,Ortaköy,ortakoy
68,Aksaray,68,Sarıyahşi,sariyahsi
68,Aksaray,68,Sultanhanı,sultanhani
5,Amasya,05,Göynücek,goynucek
5,Amasya,05,Gümüşhacıköy,gumushacikoy
5,Amasya,05,Hamamözü,hamamozu
5,Amasya,05,Merkez,merkez
5,Amasya,05,Merzifon,merzifon
5,Amasya,05,Suluova,suluova
5,Amasya,05,Taşova,tasova
6,Ankara,06,Akyurt,akyurt
6,Ankara,06,Altındağ,altindag
6,Ankara,06,Ayaş,ayas
6,Ankara,06,Bala,bala
6,Ankara,06,Beypazarı,beypazari
6,Ankara,06,Çamlıdere,camlidere
6,Ankara,06,Çankaya,cankaya
6,Ankara,06,Çubuk,cubuk
6,Ankara,06,Elmadağ,elmadag
6,Ankara,06,Etimesgut,etimesgut
6,Ankara,06,Evren,evren
6,Ankara,06,Gölbaşı,golbasi
6,Ankara,06,Güdül,gudul
6,Ankara,06,Haymana,haymana
6,Ankara,06,Kahramankazan,kahramankazan
6,Ankara,06,Kalecik,kalecik
6,Ankara,06,Keçiören,kecioren
6,Ankara,06,Kızılcahamam,kizilcahamam
6,Ankara,06,Mamak,mamak
6,Ankara,06,Nallıhan,nallihan
6,Ankara,06,Polatlı,polatli
6,Ankara,06,Pursaklar,pursaklar
6,Ankara,06,Sincan,sincan
6,Ankara,06,Şereflikoçhisar,sereflikochisar
